id,identifier,generation_id,evolves_from_species_id,evolution_chain_id,color_id,shape_id,habitat_id,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate_id
267,beautifly,3,266,135,10,13,2,4,45,70,0,15,1,2
268,cascoon,3,265,135,7,1,2,4,120,70,0,15,0,2
269,dustox,3,268,135,5,13,2,4,45,70,0,15,1,2
270,lotad,3,,136,5,14,9,4,255,70,0,15,0,4
271,lombre,3,270,136,5,12,9,4,120,70,0,15,0,4
272,ludicolo,3,271,136,5,12,9,4,45,70,0,15,1,4
273,seedot,3,,137,3,7,2,4,255,70,0,15,0,4
274,nuzleaf,3,273,137,3,12,2,4,120,70,0,15,1,4
275,shiftry,3,274,137,3,12,2,4,45,70,0,15,1,4
276,taillow,3,,138,2,9,3,4,200,70,0,15,0,4
277,swellow,3,276,138,2,9,3,4,45,70,0,15,0,4
278,wingull,3,,139,9,9,7,4,190,70,0,20,0,2
279,pelipper,3,278,139,10,9,7,4,45,70,0,20,0,2
280,ralts,3,,140,9,12,8,4,235,35,0,20,0,1
281,kirlia,3,280,140,9,12,8,4,120,35,0,20,0,1
282,gardevoir,3,281,140,9,12,8,4,45,35,0,20,0,1
283,surskit,3,,141,2,14,9,4,200,70,0,15,0,2
284,masquerain,3,283,141,2,13,9,4,75,70,0,15,0,2
285,shroomish,3,,142,3,7,2,4,255,70,0,15,0,6
286,breloom,3,285,142,5,6,2,4,90,70,0,15,0,6
287,slakoth,3,,143,3,8,2,4,255,70,0,15,0,1
288,vigoroth,3,287,143,9,6,2,4,120,70,0,15,0,1
289,slaking,3,288,143,3,12,2,4,45,70,0,15,0,1
290,nincada,3,,144,4,14,2,4,255,70,0,15,0,5
291,ninjask,3,290,144,10,13,2,4,120,70,0,15,0,5
292,shedinja,3,290,144,3,5,2,-1,45,70,0,15,0,5
293,whismur,3,,145,6,6,1,4,190,70,0,20,0,4
294,loudred,3,293,145,2,6,1,4,120,70,0,20,0,4
295,exploud,3,294,145,2,6,1,4,45,70,0,20,0,4
296,makuhita,3,,146,10,12,4,2,180,70,0,20,0,6
297,hariyama,3,296,146,3,12,4,2,200,70,0,20,0,6
298,azurill,3,,90,2,7,9,6,150,70,1,10,0,3
299,nosepass,3,,147,4,12,1,4,255,70,0,20,0,2
300,skitty,3,,148,6,8,2,6,255,70,0,15,0,3
301,delcatty,3,300,148,7,8,2,6,60,70,0,15,0,3
302,sableye,3,,149,7,12,1,4,45,35,0,25,0,4
303,mawile,3,,150,1,12,1,4,45,70,0,20,0,3
304,aron,3,,151,4,8,4,4,180,35,0,35,0,1
305,lairon,3,304,151,4,8,4,4,90,35,0,35,0,1
306,aggron,3,305,151,4,6,4,4,45,35,0,35,0,1
307,meditite,3,,152,2,12,4,4,180,70,0,20,1,2
308,medicham,3,307,152,8,12,4,4,90,70,0,20,1,2
309,electrike,3,,153,5,8,3,4,120,70,0,20,0,1
310,manectric,3,309,153,10,8,3,4,45,70,0,20,0,1
311,plusle,3,,154,10,6,3,4,200,70,0,20,0,2
312,minun,3,,155,10,6,3,4,200,70,0,20,0,2
313,volbeat,3,,156,4,6,2,0,150,70,0,15,0,5
314,illumise,3,,157,7,12,2,8,150,70,0,15,0,6
315,roselia,3,406,158,5,12,3,4,150,70,0,20,1,4
316,gulpin,3,,159,5,4,3,4,225,70,0,20,1,6
317,swalot,3,316,159,7,4,3,4,75,70,0,20,1,6
318,carvanha,3,,160,8,3,7,4,225,35,0,20,0,1
319,sharpedo,3,318,160,2,3,7,4,60,35,0,20,0,1
320,wailmer,3,,161,2,3,7,4,125,70,0,40,0,6
321,wailord,3,320,161,2,3,7,4,60,70,0,40,0,6
322,numel,3,,162,10,8,4,4,255,70,0,20,1,2
323,camerupt,3,322,162,8,8,4,4,150,70,0,20,1,2
324,torkoal,3,,163,3,8,4,4,90,70,0,20,0,2
325,spoink,3,,164,1,4,4,4,255,70,0,20,0,3
326,grumpig,3,325,164,7,6,4,4,60,70,0,20,0,3
327,spinda,3,,165,3,6,4,4,255,70,0,15,0,3
328,trapinch,3,,166,3,14,6,4,255,70,0,20,0,4
329,vibrava,3,328,166,5,13,6,4,120,70,0,20,0,4
330,flygon,3,329,166,5,9,6,4,45,70,0,20,0,4
331,cacnea,3,,167,5,12,6,4,190,35,0,20,0,4
332,cacturne,3,331,167,5,12,6,4,60,35,0,20,1,4
333,swablu,3,,168,2,9,2,4,255,70,0,20,0,5
334,altaria,3,333,168,2,9,2,4,45,70,0,20,0,5
335,zangoose,3,,169,9,6,3,4,90,70,0,20,0,5
336,seviper,3,,170,1,2,3,4,90,70,0,20,0,6
337,lunatone,3,,171,10,1,1,-1,45,70,0,25,0,3
338,solrock,3,,172,8,1,1,-1,45,70,0,25,0,3
339,barboach,3,,173,4,3,9,4,190,70,0,20,0,2
340,whiscash,3,339,173,2,3,9,4,75,70,0,20,0,2
341,corphish,3,,174,8,14,9,4,205,70,0,15,0,6
342,crawdaunt,3,341,174,8,14,9,4,155,70,0,15,0,6
343,baltoy,3,,175,3,4,6,-1,255,70,0,20,0,2
344,claydol,3,343,175,1,4,6,-1,90,70,0,20,0,2
345,lileep,3,,176,7,5,7,1,45,70,0,30,0,5
346,cradily,3,345,176,5,5,7,1,45,70,0,30,0,5
347,anorith,3,,177,4,14,9,1,45,70,0,30,0,5
348,armaldo,3,347,177,4,6,9,1,45,70,0,30,0,5
349,feebas,3,,178,3,3,9,4,255,70,0,20,0,5
350,milotic,3,349,178,6,2,9,4,60,70,0,20,1,5
351,castform,3,,179,9,1,3,4,45,70,0,25,0,2
352,kecleon,3,,180,5,6,2,4,200,70,0,20,0,4
353,shuppet,3,,181,1,1,8,4,225,35,0,25,0,3
354,banette,3,353,181,1,6,8,4,45,35,0,25,0,3
355,duskull,3,,182,1,4,2,4,190,35,0,25,0,3
356,dusclops,3,355,182,1,12,2,4,90,35,0,25,0,3
357,tropius,3,,183,5,8,2,4,200,70,0,25,0,1
358,chimecho,3,433,184,2,4,3,4,45,70,0,25,0,3
359,absol,3,,185,9,8,4,4,30,35,0,25,0,4
360,wynaut,3,,100,2,6,1,4,125,70,1,20,0,2
361,snorunt,3,,186,4,12,1,4,190,70,0,20,0,2
362,glalie,3,361,186,4,1,1,4,75,70,0,20,0,2
363,spheal,3,,187,2,3,7,4,255,70,0,20,0,4
364,sealeo,3,363,187,2,3,7,4,120,70,0,20,0,4
365,walrein,3,364,187,2,8,7,4,45,70,0,20,0,4
366,clamperl,3,,188,2,1,7,4,255,70,0,20,0,5
367,huntail,3,366,188,2,2,7,4,60,70,0,20,0,5
368,gorebyss,3,366,188,6,2,7,4,60,70,0,20,0,5
369,relicanth,3,,189,4,3,7,1,25,70,0,40,1,1
370,luvdisc,3,,190,6,3,7,6,225,70,0,20,0,3
371,bagon,3,,191,2,12,6,4,45,35,0,40,0,1
372,shelgon,3,371,191,9,8,6,4,45,35,0,40,0,1
373,salamence,3,372,191,2,8,6,4,45,35,0,40,0,1
374,beldum,3,,192,2,5,6,-1,3,35,0,40,0,1
375,metang,3,374,192,2,4,6,-1,3,35,0,40,0,1
376,metagross,3,375,192,2,11,6,-1,3,35,0,40,0,1
377,regirock,3,,193,3,12,1,-1,3,35,0,80,0,1
378,regice,3,,194,2,12,1,-1,3,35,0,80,0,1
379,registeel,3,,195,4,12,1,-1,3,35,0,80,0,1
380,latias,3,,196,8,9,9,8,3,90,0,120,0,1
381,latios,3,,197,2,9,9,0,3,90,0,120,0,1
382,kyogre,3,,198,2,3,7,-1,5,0,0,120,0,1
383,groudon,3,,199,8,6,6,-1,5,0,0,120,0,1
384,rayquaza,3,,200,5,2,5,-1,3,0,0,120,0,1
385,jirachi,3,,201,10,12,4,-1,3,100,0,120,0,1
386,deoxys,3,,202,8,12,5,-1,3,0,0,120,0,1
387,turtwig,4,,203,5,8,,1,45,70,0,20,0,4
388,grotle,4,387,203,5,8,,1,45,70,0,20,0,4
389,torterra,4,388,203,5,8,,1,45,70,0,20,0,4
390,chimchar,4,,204,3,6,,1,45,70,0,20,0,4
391,monferno,4,390,204,3,6,,1,45,70,0,20,0,4
392,infernape,4,391,204,3,6,,1,45,70,0,20,0,4
393,piplup,4,,205,2,12,,1,45,70,0,20,0,4
394,prinplup,4,393,205,2,6,,1,45,70,0,20,0,4
395,empoleon,4,394,205,2,6,,1,45,70,0,20,0,4
396,starly,4,,206,3,9,,4,255,70,0,15,1,4
397,staravia,4,396,206,3,9,,4,120,70,0,15,1,4
398,staraptor,4,397,206,3,9,,4,45,70,0,15,1,4
399,bidoof,4,,207,3,8,,4,255,70,0,15,1,2
400,bibarel,4,399,207,3,6,,4,127,70,0,15,1,2
401,kricketot,4,,208,8,12,,4,255,70,0,15,1,4
402,kricketune,4,401,208,8,13,,4,45,70,0,15,1,4
403,shinx,4,,209,2,8,,4,235,70,0,20,1,4
404,luxio,4,403,209,2,8,,4,120,100,0,20,1,4
405,luxray,4,404,209,2,8,,4,45,70,0,20,1,4
406,budew,4,,158,5,12,,4,255,70,1,20,0,4
407,roserade,4,315,158,5,12,,4,75,70,0,20,1,4
408,cranidos,4,,211,2,6,,1,45,70,0,30,0,5
409,rampardos,4,408,211,2,6,,1,45,70,0,30,0,5
410,shieldon,4,,212,4,8,,1,45,70,0,30,0,5
411,bastiodon,4,410,212,4,8,,1,45,70,0,30,0,5
412,burmy,4,,213,4,2,,4,120,70,0,15,0,2
413,wormadam,4,412,213,4,2,,8,45,70,0,15,0,2
414,mothim,4,412,213,10,13,,0,45,70,0,15,0,2
415,combee,4,,214,10,11,,1,120,70,0,15,1,4
416,vespiquen,4,415,214,10,9,,8,45,70,0,15,0,4
417,pachirisu,4,,215,9,8,,4,200,100,0,10,1,2
418,buizel,4,,216,3,8,,4,190,70,0,20,1,2
419,floatzel,4,418,216,3,8,,4,75,70,0,20,1,2
420,cherubi,4,,217,6,11,,4,190,70,0,20,0,2
421,cherrim,4,420,217,6,7,,4,75,70,0,20,0,2
422,shellos,4,,218,7,14,,4,190,70,0,20,0,2
423,gastrodon,4,422,218,7,14,,4,75,70,0,20,0,2
424,ambipom,4,190,93,7,6,,4,45,100,0,20,1,3
425,drifloon,4,,219,7,4,,4,125,70,0,30,0,6
426,drifblim,4,425,219,7,4,,4,60,70,0,30,0,6
427,buneary,4,,220,3,6,,4,190,0,0,20,0,2
428,lopunny,4,427,220,3,6,,4,60,140,0,20,0,2
429,mismagius,4,200,98,7,1,,4,45,35,0,25,0,3
430,honchkrow,4,198,97,1,9,,4,30,35,0,20,0,4
431,glameow,4,,221,4,8,,6,190,70,0,20,0,3
432,purugly,4,431,221,4,8,,6,75,70,0,20,0,3
433,chingling,4,,184,10,12,,4,120,70,1,25,0,3
434,stunky,4,,223,7,8,,4,225,70,0,20,0,2
435,skuntank,4,434,223,7,8,,4,60,70,0,20,0,2
436,bronzor,4,,224,5,1,,-1,255,70,0,20,0,2
437,bronzong,4,436,224,5,4,,-1,90,70,0,20,0,2
438,bonsly,4,,91,3,7,,4,255,70,1,20,0,2
